feature,target,model,n_countries,avg_rmse,std_rmse,min_rmse,max_rmse,avg_mase,std_mase
coal_consumption,gdp,LSTM,19,1405357972900.5203,2559790010044.948,132254832599.68205,10692699109838.318,8.567716668620193,6.803365097056795
coal_consumption,gdp,Bi-LSTM,19,1258461411060.6726,2490958031413.143,83533364625.9498,10926766079383.39,7.670460165904929,6.688581271365308
coal_consumption,gdp,ED-LSTM,19,1630948302384.5906,2482739988061.6562,71765642337.5501,10429638001535.768,10.122703517156296,8.185896020398605
coal_consumption,gdp,CNN,19,1371968740551.361,2783613666549.3374,76990781333.31508,10943223358457.842,7.144203559959703,6.214035820586586
renewables_cons_change_twh,gdp,ARIMA,19,1866388364319.3967,6322759765368.258,32139260390.579445,28575276626134.41,19.65103828909983,76.1292286189092
renewables_cons_change_twh,gdp,LSTM,19,2429294131159.9243,2967748464265.1104,321248556255.3703,11422592129012.246,22.42435090327288,35.78702264515748
renewables_cons_change_twh,gdp,Bi-LSTM,19,1871544803999.0198,2097876435916.5688,293651875013.61975,7850886459097.369,13.541190716728496,5.950094425583806
renewables_cons_change_twh,gdp,ED-LSTM,19,3412506468398.5483,5087590256700.238,410837713649.9623,21802268102035.75,34.984634529284975,73.88780821630586
renewables_cons_change_twh,gdp,CNN,19,1701282368613.1057,2057210512959.391,401799566188.5482,9147381254224.842,13.697150341285491,8.035616633575138
low_carbon_consumption,gdp,ARIMA,19,2143706913411.5613,6848678364162.082,15530916078.536346,30827308762238.13,20.700615055188816,78.36120802889081
low_carbon_consumption,gdp,LSTM,19,1940969120458.5908,1908323531174.5808,165725195249.36823,7124151914684.533,15.648435768553645,12.781672448485772
low_carbon_consumption,gdp,Bi-LSTM,19,1954242851838.401,2645985871276.862,220763142622.18585,11064614021332.596,12.63480318473696,10.785622577721988
low_carbon_consumption,gdp,ED-LSTM,19,2385811160291.684,2431605280134.5864,142313093944.967,8544301858886.621,16.852465049798123,12.418594911730183
low_carbon_consumption,gdp,CNN,19,1056083421365.5189,1586375164569.9807,199692975646.9183,7343500147094.788,8.705203932242942,8.922808243972428
other_renewables_cons_change_twh,gdp,ARIMA,19,632071919517.7345,1240723975709.2878,38830842397.151634,4674595417776.385,2.1687645510827562,1.807066994757008
other_renewables_cons_change_twh,gdp,LSTM,19,2604874589678.8843,3523364802320.377,305244795599.4177,12610736706326.887,16.43132967054073,15.310648928084838
other_renewables_cons_change_twh,gdp,Bi-LSTM,19,2237210006593.5684,2818942242250.1357,294545712610.5196,8959836448953.781,13.646779839651652,12.134597000165796
other_renewables_cons_change_twh,gdp,ED-LSTM,19,6985890954776.417,16129727922633.514,419457644232.5707,72609624552827.22,28.612761131424776,33.08099118104988
other_renewables_cons_change_twh,gdp,CNN,19,2802907828909.7534,3907210050312.1357,326906209326.77106,16902848179893.422,20.820776895827922,28.23303607022931
co2_per_unit_energy,gdp,ARIMA,19,518083996442.79645,1140894578888.7576,31804735160.520638,4912193112097.5625,1.9820420429221883,1.1297692876727832
co2_per_unit_energy,gdp,LSTM,19,1731065975966.4941,2350484771734.63,242123004521.63315,10172904680752.656,12.803582619829395,8.208621525677229
co2_per_unit_energy,gdp,Bi-LSTM,19,1940712539330.6545,2229819590758.42,135828213267.00388,7834191549616.664,14.61356109871171,10.855237995925888
co2_per_unit_energy,gdp,ED-LSTM,19,1791545324707.4424,1871069943814.895,339709036865.575,8059873110117.013,14.548964290013517,6.819949918984625
co2_per_unit_energy,gdp,CNN,19,1961877331601.0288,2554575363866.9194,248821560715.2711,9777758264460.797,13.846233634395139,9.952194626058306
fossil_fuel_consumption,gdp,ARIMA,19,580219477289.6984,1300095903989.8025,36942806028.17426,5713351646340.265,1.9088611109373015,1.1349966226188242
fossil_fuel_consumption,gdp,LSTM,19,1294596399523.3257,1597314766068.559,37616001110.30674,5530488286105.029,8.45661673349411,6.941978184254442
fossil_fuel_consumption,gdp,Bi-LSTM,19,1026761606651.5382,1373223668683.36,67523530847.54384,5677983491991.099,6.453279125344816,4.040126840833587
fossil_fuel_consumption,gdp,ED-LSTM,19,1355231631913.958,2118355507400.5566,74011667214.5329,8069264971662.045,8.704087536367377,7.047587928436365
fossil_fuel_consumption,gdp,CNN,19,969741211463.9564,1455556378964.5967,34318429127.286633,5200054139958.22,5.951483027534572,4.005600040308522
nuclear_consumption,gdp,ARIMA,19,969814567437.6932,2670984501749.852,31120196591.571575,12057721192434.1,2.421024359951711,2.0028132950785436
nuclear_consumption,gdp,LSTM,19,1341965289054.786,1174516473082.5298,181980326035.84732,4287986348090.212,12.718322658761931,9.2815825740138
nuclear_consumption,gdp,Bi-LSTM,19,1618659780052.1497,2353476755107.6455,237163686372.52222,10763190736659.344,12.384182626239715,7.266578865183585
nuclear_consumption,gdp,ED-LSTM,19,1275711181439.3423,1224198108401.8757,158481413120.0498,5189064275652.441,12.336476528561775,8.602395544218782
nuclear_consumption,gdp,CNN,19,1856261372700.4482,2916568307048.018,244287067387.82886,13412353669435.875,12.830192453587584,8.403226256220792
co2_growth_prct,gdp,ARIMA,19,372960601681.8982,674601027704.1329,42339856266.46408,2986582480422.967,1.8551573491498647,1.3605833707091026
co2_growth_prct,gdp,LSTM,19,2790539089751.151,4465397310093.871,376626792244.62775,18705633526754.54,15.921551691408414,4.6161798167794625
co2_growth_prct,gdp,Bi-LSTM,19,2744880135589.044,4370233770079.019,384272978851.2744,18681025424497.316,16.124057768530342,4.852281701031588
co2_growth_prct,gdp,ED-LSTM,19,2735925985444.5312,4359569828860.8843,389673820658.45764,18718181563648.836,15.94838040665884,4.963657451280675
co2_growth_prct,gdp,CNN,19,2616028263843.123,3997213747468.493,299322648161.6869,16600707666820.344,15.542506236922867,5.27083354200913
gas_cons_change_pct,gdp,ARIMA,19,331760937069.8631,519774392321.21826,23779405020.623215,1995515430080.0796,1.4858240016283344,1.0253531484343532
gas_cons_change_pct,gdp,LSTM,19,2546991645256.287,4335599658550.24,331817752821.01013,18724476092621.344,14.051859207965633,5.298995021658545
gas_cons_change_pct,gdp,Bi-LSTM,19,2366232894935.775,3943544488153.8213,304008267230.47363,17307234266355.209,13.417104995279336,5.524886373241073
gas_cons_change_pct,gdp,ED-LSTM,19,2614129856995.7275,4379033887456.6484,313341209235.74506,18668450096155.85,14.022800371441205,5.2212662466755315
gas_cons_change_pct,gdp,CNN,19,2380090407390.003,3907327316769.0557,342659997574.26215,17113378649452.02,13.677900207659969,5.028919485065033
